;Epoch;test_accuracy;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
14;14;86.42;0.15625;0.46875;0.5546875;0.671875;0.6171875;0.6640625;0.66796875;0.60546875;0.412109375;0.33984375;0.232421875;0.158203125;0.1328125;0.125;0.12109375;0.119140625;0.8;0.171875;0.5;0.5390625;0.65625;0.609375;0.6640625;0.67578125;0.61328125;0.42578125;0.361328125;0.234375;0.150390625;0.12890625;0.12109375;0.1171875;0.11328125;0.8
15;15;86.67;0.15625;0.46875;0.546875;0.671875;0.625;0.66796875;0.67578125;0.61328125;0.431640625;0.369140625;0.2578125;0.16796875;0.134765625;0.125;0.119140625;0.119140625;0.8;0.171875;0.515625;0.5390625;0.65625;0.6171875;0.66796875;0.6796875;0.61328125;0.427734375;0.35546875;0.228515625;0.1484375;0.126953125;0.119140625;0.115234375;0.11328125;0.8
16;16;85.89;0.171875;0.484375;0.5546875;0.671875;0.62109375;0.66796875;0.66796875;0.59375;0.416015625;0.34375;0.236328125;0.154296875;0.12890625;0.12109375;0.115234375;0.115234375;0.7;0.171875;0.5;0.5390625;0.65625;0.61328125;0.66796875;0.67578125;0.59765625;0.412109375;0.3359375;0.212890625;0.142578125;0.125;0.119140625;0.11328125;0.11328125;0.8
17;17;86.84;0.171875;0.484375;0.546875;0.671875;0.6171875;0.66015625;0.66015625;0.5859375;0.41015625;0.337890625;0.234375;0.154296875;0.125;0.119140625;0.11328125;0.11328125;0.8;0.171875;0.5;0.5390625;0.6640625;0.6171875;0.6640625;0.671875;0.6015625;0.423828125;0.345703125;0.224609375;0.1484375;0.126953125;0.12109375;0.115234375;0.11328125;0.8
18;18;86.4;0.15625;0.484375;0.546875;0.6796875;0.61328125;0.66015625;0.66015625;0.5859375;0.4140625;0.3515625;0.244140625;0.16015625;0.130859375;0.12109375;0.1171875;0.115234375;0.8;0.171875;0.515625;0.5390625;0.65625;0.609375;0.6640625;0.671875;0.59765625;0.419921875;0.34375;0.220703125;0.14453125;0.125;0.119140625;0.11328125;0.11328125;0.8
19;19;87.28;0.15625;0.484375;0.546875;0.6875;0.625;0.66796875;0.6640625;0.578125;0.40625;0.328125;0.224609375;0.15625;0.130859375;0.123046875;0.115234375;0.1171875;0.8;0.171875;0.515625;0.5390625;0.671875;0.62109375;0.671875;0.67578125;0.6015625;0.4140625;0.337890625;0.21484375;0.146484375;0.126953125;0.119140625;0.11328125;0.11328125;0.8
20;20;88.09;0.171875;0.46875;0.546875;0.6875;0.62109375;0.66796875;0.6640625;0.58203125;0.41796875;0.3359375;0.228515625;0.150390625;0.125;0.1171875;0.111328125;0.11328125;0.8;0.171875;0.515625;0.5390625;0.671875;0.6171875;0.66796875;0.671875;0.59375;0.41015625;0.330078125;0.208984375;0.14453125;0.126953125;0.119140625;0.11328125;0.111328125;0.8
21;21;87.84;0.171875;0.46875;0.546875;0.6875;0.62109375;0.6640625;0.66015625;0.56640625;0.3984375;0.310546875;0.2109375;0.146484375;0.123046875;0.1171875;0.111328125;0.111328125;0.8;0.171875;0.5;0.5390625;0.671875;0.61328125;0.6640625;0.66796875;0.5859375;0.40625;0.3203125;0.201171875;0.140625;0.123046875;0.1171875;0.111328125;0.111328125;0.8
22;22;87.56;0.15625;0.484375;0.546875;0.6875;0.625;0.66796875;0.66015625;0.5625;0.40625;0.31640625;0.21875;0.15625;0.130859375;0.12109375;0.11328125;0.11328125;0.8;0.171875;0.515625;0.5390625;0.671875;0.6171875;0.66796875;0.66796875;0.5859375;0.4140625;0.32421875;0.20703125;0.142578125;0.126953125;0.119140625;0.11328125;0.111328125;0.8
23;23;88.37;0.15625;0.484375;0.5546875;0.6953125;0.62890625;0.66796875;0.66015625;0.55859375;0.408203125;0.31640625;0.220703125;0.154296875;0.126953125;0.119140625;0.11328125;0.11328125;0.8;0.171875;0.515625;0.5390625;0.6796875;0.62890625;0.671875;0.67578125;0.58984375;0.416015625;0.31640625;0.201171875;0.142578125;0.125;0.1171875;0.109375;0.109375;0.8
