;name;train_acc;eval_acc
0;train-classifier;0.9999555555555556;0.936
1;train-features-0;0.3582222222222222;0.378
2;train-features-11;0.7782888888888889;0.7618
3;train-features-15;0.8820666666666667;0.8251
4;train-features-18;0.935;0.8731
5;train-features-21;0.9801777777777778;0.91
6;train-features-24;0.9957777777777778;0.9305
7;train-features-28;0.9999111111111111;0.9358
8;train-features-31;0.9998444444444444;0.9359
9;train-features-34;0.9994444444444445;0.9328
10;train-features-37;0.9996444444444444;0.9339
11;train-features-4;0.6244444444444445;0.6428
12;train-features-40;0.9997555555555555;0.9354
13;train-features-43;0.9996888888888888;0.9343
14;train-features-46;0.9998;0.9367
15;train-features-49;0.9998888888888889;0.9368
16;train-features-8;0.6974666666666667;0.7058
