;name;train_acc;eval_acc
0;train-conv1;0.05372688133559301;0.0571
1;train-layer1-0-conv1_1x1;0.11645385740902536;0.1261
2;train-layer1-0-conv2_1x1;0.1203170559690102;0.1334
3;train-layer1-0-conv3_3x3;0.10159054305834798;0.1115
4;train-layer1-0-conv4_1x1;0.1022642343603617;0.1135
5;train-layer1-0-conv5_1x1;0.09940104632680344;0.1078
6;train-layer1-0-shortcut-0;0.1543384667207023;0.1686
7;train-layer2-0-conv1_1x1;0.23812882240865693;0.2432
8;train-layer2-0-conv2_1x1;0.23332877188180928;0.2395
9;train-layer2-0-conv3_3x3;0.2039389888314614;0.2159
10;train-layer2-0-conv4_1x1;0.18154927946609964;0.1958
11;train-layer2-0-conv5_1x1;0.1736018273876567;0.1916
12;train-layer2-0-shortcut-0;0.21587595658901673;0.2077
13;train-layer3-0-conv1_1x1;0.2843398351561595;0.2732
14;train-layer3-0-conv2_1x1;0.27223444457310075;0.2664
15;train-layer3-0-conv3_3x3;0.25483426141327803;0.2539
16;train-layer3-0-conv4_1x1;0.25102369498626304;0.247
17;train-layer3-0-conv5_1x1;0.25387635659322727;0.2476
18;train-layer3-0-shortcut-0;0.18917041232012968;0.197
19;train-layer3-1-conv1_1x1;0.005031631911914862;0.005
20;train-layer3-1-conv2_1x1;0.0048737355130054;0.005
21;train-layer3-1-conv3_3x3;0.005063211191696755;0.005
22;train-layer3-1-conv4_1x1;0.005031631911914862;0.005
23;train-layer3-1-conv5_1x1;0.005073737618290719;0.005
24;train-layer4-0-conv1_1x1;0.24834998263139613;0.2489
25;train-layer4-0-conv2_1x1;0.013536984599837893;0.0129
26;train-layer4-0-conv3_3x3;0.006821124432888767;0.0073
27;train-layer4-0-conv4_1x1;0.01055800587374604;0.0111
28;train-layer4-0-conv5_1x1;0.01561069063884883;0.0184
