Name,Dense Accuracy,Pruned Accuracy
vgg19_dilation_normal_tiny_imagenet_1769455262.878496_rf_level_91_recording_dilation_100_no_ffcv_test_acc_61.02.pth,61.02,17.91
vgg19_dilation_normal_tiny_imagenet_1769730985.2703965_rf_level_91_recording_dilation_100_no_ffcv_test_acc_61.22.pth,61.22,21.98
vgg19_dilation_normal_tiny_imagenet_1769454446.7487662_rf_level_91_recording_dilation_100_no_ffcv_test_acc_60.8.pth,60.8,15.6
vgg19_dilation_normal_tiny_imagenet_1769730834.280803_rf_level_91_recording_dilation_100_no_ffcv_test_acc_61.06.pth,61.06,21.27
vgg19_dilation_normal_tiny_imagenet_1769455072.2709608_rf_level_91_recording_dilation_100_no_ffcv_test_acc_61.2.pth,61.2,16.24
vgg19_dilation_normal_tiny_imagenet_1769730955.129468_rf_level_91_recording_dilation_100_no_ffcv_test_acc_60.84.pth,60.84,19.02
vgg19_dilation_normal_tiny_imagenet_1769454771.442228_rf_level_91_recording_dilation_100_no_ffcv_test_acc_60.79.pth,60.79,21.51
vgg19_dilation_normal_tiny_imagenet_1769455479.525651_rf_level_91_recording_dilation_100_no_ffcv_test_acc_61.38.pth,61.38,20.45
vgg19_dilation_normal_tiny_imagenet_1769730894.7637036_rf_level_91_recording_dilation_100_no_ffcv_test_acc_61.2.pth,61.2,16.09
vgg19_dilation_normal_tiny_imagenet_1769730985.475862_rf_level_91_recording_dilation_100_no_ffcv_test_acc_60.7.pth,60.7,20.96
