PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.0014653603121868016,-1.0050000000000026,15.18
0.8,0.003,8.355716349535259e-05,-4.23,15.18
0.8,0.005,0.00026659585839176544,-3.6850000000000023,15.18
0.85,0.001,0.0009192869415043999,-0.4600000000000004,2.48
0.85,0.003,2.7627274279574533e-06,-1.19,2.48
0.85,0.005,2.896706464134143e-05,-1.8699999999999997,2.48
0.9,0.001,0.9455533402157119,0.06500000000000006,0.89
0.9,0.003,0.7157026831923516,0.07500000000000007,0.89
0.9,0.005,0.9591282937171434,0.05500000000000005,0.89
0.95,0.001,0.19937662530585742,0.0,0.5
0.95,0.003,0.08863385125280542,0.0,0.5
0.95,0.005,0.3484996667742847,0.0,0.5
