Name,Dense Accuracy,Pruned Accuracy
resnet50_dilation_normal_cifar10_1769741470.497199_rf_level_107_recording_dilation_100_no_ffcv_test_acc_94.84.pth,94.84,46.44
resnet50_dilation_normal_cifar10_1769741068.344714_rf_level_107_recording_dilation_100_no_ffcv_test_acc_94.96.pth,94.96,48.61
resnet50_dilation_normal_cifar10_1769741100.7871501_rf_level_107_recording_dilation_100_no_ffcv_test_acc_94.87.pth,94.87,53.62
resnet50_dilation_normal_cifar10_1769741702.412644_rf_level_107_recording_dilation_100_no_ffcv_test_acc_94.64.pth,94.64,45.27
resnet50_dilation_normal_cifar10_1769741600.163723_rf_level_107_recording_dilation_100_no_ffcv_test_acc_94.94.pth,94.94,73.76
