PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.01446200493192083,-0.07499999999998863,92.5
0.8,0.003,0.9999994178419811,1.2399999999999949,92.5
0.8,0.005,0.9999999578553687,7.85499999999999,92.5
0.85,0.001,0.9549284192822152,0.06499999999999773,87.58
0.85,0.003,0.9995200684542136,1.9899999999999949,87.58
0.85,0.005,0.9999999863173872,15.045000000000002,87.58
0.9,0.001,0.0033333442330748834,-1.0599999999999952,51.59
0.9,0.003,0.03510243569316572,-0.7049999999999983,51.59
0.9,0.005,0.9999995065153219,14.025000000000006,51.59
0.95,0.001,0.25476206313122507,-0.120000000000001,19.61
0.95,0.003,0.9385737096900237,0.4450000000000003,19.61
0.95,0.005,0.9744599751414577,1.5300000000000011,19.61
