PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.9999922736713615,3.6950000000000074,63.84
0.8,0.003,1.0,53.84,63.84
0.8,0.005,1.0,53.84,63.84
0.85,0.001,6.103222797223965e-13,-27.585,18.21
0.85,0.003,1.0,8.21,18.21
0.85,0.005,1.0,8.21,18.21
0.9,0.001,,0.0,10.0
0.9,0.003,,0.0,10.0
0.9,0.005,,0.0,10.0
0.95,0.001,,0.0,10.0
0.95,0.003,,0.0,10.0
0.95,0.005,,0.0,10.0
