PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.9232962474478118,0.23000000000000043,17.85
0.8,0.003,2.3144292426825495e-05,-6.949999999999999,17.85
0.8,0.005,2.084632406865125e-05,-6.869999999999997,17.85
0.85,0.001,0.15221736211037795,-0.09500000000000064,5.68
0.85,0.003,0.00034353742116578724,-1.495,5.68
0.85,0.005,1.5755662415373692e-06,-4.65,5.68
0.9,0.001,0.41292636605588884,-0.015000000000000124,1.52
0.9,0.003,0.0006981211034824966,-0.43999999999999995,1.52
0.9,0.005,0.00012720723326129716,-0.9700000000000002,1.52
0.95,0.001,0.3454393736781044,-0.025000000000000022,0.75
0.95,0.003,0.10510749335399788,-0.09499999999999997,0.75
0.95,0.005,0.8768991131943354,0.135,0.75
