Name,Dense Accuracy,Pruned Accuracy
vgg19_dilation_normal_tiny_imagenet_1769734753.9029696_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.41.pth,61.41,20.9
vgg19_dilation_normal_tiny_imagenet_1769455950.024294_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.41.pth,61.41,24.31
vgg19_dilation_normal_tiny_imagenet_1769740574.6910925_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.2.pth,61.2,25.41
vgg19_dilation_normal_tiny_imagenet_1769456043.0232186_rf_level_269_recording_dilation_100_no_ffcv_test_acc_60.82.pth,60.82,19.27
vgg19_dilation_normal_tiny_imagenet_1769456464.3768473_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.13.pth,61.13,21.85
vgg19_dilation_normal_tiny_imagenet_1769733601.6196635_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.18.pth,61.18,20.95
vgg19_dilation_normal_tiny_imagenet_1769733571.3695183_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.84.pth,61.84,22.43
vgg19_dilation_normal_tiny_imagenet_1769456845.7097895_rf_level_269_recording_dilation_100_no_ffcv_test_acc_60.98.pth,60.98,19.81
vgg19_dilation_normal_tiny_imagenet_1769455919.1977954_rf_level_269_recording_dilation_100_no_ffcv_test_acc_60.82.pth,60.82,15.84
vgg19_dilation_normal_tiny_imagenet_1769740706.339224_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.35.pth,61.35,21.1
