Name,Dense Accuracy,Pruned Accuracy
vgg19_dilation_normal_tiny_imagenet_1769734753.9029696_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.41.pth,61.41,60.05
vgg19_dilation_normal_tiny_imagenet_1769455950.024294_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.41.pth,61.41,60.42
vgg19_dilation_normal_tiny_imagenet_1769740574.6910925_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.2.pth,61.2,59.56
vgg19_dilation_normal_tiny_imagenet_1769456043.0232186_rf_level_269_recording_dilation_100_no_ffcv_test_acc_60.82.pth,60.82,59.17
vgg19_dilation_normal_tiny_imagenet_1769456464.3768473_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.13.pth,61.13,59.08
vgg19_dilation_normal_tiny_imagenet_1769733601.6196635_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.18.pth,61.18,59.47
vgg19_dilation_normal_tiny_imagenet_1769733571.3695183_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.84.pth,61.84,60.1
vgg19_dilation_normal_tiny_imagenet_1769456845.7097895_rf_level_269_recording_dilation_100_no_ffcv_test_acc_60.98.pth,60.98,59.83
vgg19_dilation_normal_tiny_imagenet_1769455919.1977954_rf_level_269_recording_dilation_100_no_ffcv_test_acc_60.82.pth,60.82,59.06
vgg19_dilation_normal_tiny_imagenet_1769740706.339224_rf_level_269_recording_dilation_100_no_ffcv_test_acc_61.35.pth,61.35,59.42
