Name,Dense Accuracy,Pruned Accuracy
vgg19_dilation_normal_cifar10_1769452928.5580466_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.36.pth,93.36,93.31
vgg19_dilation_normal_cifar10_1769452983.2034147_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.38.pth,93.38,93.38
vgg19_dilation_normal_cifar10_1769452944.657234_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.47.pth,93.47,93.48
vgg19_dilation_normal_cifar10_1769728777.3385768_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.17.pth,93.17,93.14
vgg19_dilation_normal_cifar10_1769728777.112193_rf_level_180_recording_dilation_100_no_ffcv_test_acc_92.92.pth,92.92,92.91
vgg19_dilation_normal_cifar10_1769728778.1766236_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.43.pth,93.43,93.41
vgg19_dilation_normal_cifar10_1769452879.1943483_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.03.pth,93.03,93.04
vgg19_dilation_normal_cifar10_1769728777.33856_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.26.pth,93.26,93.22
vgg19_dilation_normal_cifar10_1769453041.1586397_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.42.pth,93.42,93.39
vgg19_dilation_normal_cifar10_1769728778.18511_rf_level_180_recording_dilation_100_no_ffcv_test_acc_93.17.pth,93.17,93.17
