PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.05646440783096853,-1.1400000000000006,12.05
0.8,0.003,4.56095543174657e-06,-8.715,12.05
0.8,0.005,1.373178056102048e-07,-14.05,12.05
0.85,0.001,0.0041673312039694375,-0.5499999999999998,3.14
0.85,0.003,9.601691076013557e-06,-3.5900000000000003,3.14
0.85,0.005,8.025824342519261e-07,-6.765000000000001,3.14
0.9,0.001,0.5948752530221985,0.004999999999999893,1.52
0.9,0.003,0.4368131831807999,0.015000000000000124,1.52
0.9,0.005,2.9864848730669906e-05,-0.9650000000000003,1.52
0.95,0.001,0.07784093997349338,-0.019999999999999907,0.64
0.95,0.003,0.010953601961318555,-0.11499999999999999,0.64
0.95,0.005,0.0025895840182387875,-0.18499999999999994,0.64
