PR,Sigma,P value (greater than),Diff with mean (det-sto),Det performance
0.8,0.001,0.002008766262383283,-0.6350000000000016,14.36
0.8,0.003,0.0037685769159568647,-1.3500000000000014,14.36
0.8,0.005,0.0021696253905641606,-2.0500000000000007,14.36
0.85,0.001,0.04431174180571233,-0.17999999999999972,2.64
0.85,0.003,0.00024347312090131036,-0.94,2.64
0.85,0.005,0.001020150424958191,-1.1149999999999998,2.64
0.9,0.001,0.05856140926609802,0.0,0.53
0.9,0.003,0.0014087130091000085,-0.16500000000000004,0.53
0.9,0.005,0.0010321191353894167,-0.4099999999999999,0.53
0.95,0.001,0.1685313811513341,-0.015000000000000013,0.47
0.95,0.003,0.012048838916612742,-0.06500000000000006,0.47
0.95,0.005,2.7314445908063823e-05,-0.030000000000000027,0.47
