Name,Dense Accuracy,Pruned Accuracy
resnet50_dilation_normal_tiny_imagenet_1769767557.8240337_rf_level_907_recording_dilation_100_no_ffcv_test_acc_63.17.pth,63.17,6.5
resnet50_dilation_normal_tiny_imagenet_1769772052.5828104_rf_level_907_recording_dilation_100_no_ffcv_test_acc_62.94.pth,62.94,19.95
resnet50_dilation_normal_tiny_imagenet_1769772352.9435523_rf_level_907_recording_dilation_100_no_ffcv_test_acc_63.96.pth,63.96,12.94
resnet50_dilation_normal_tiny_imagenet_1769767557.823874_rf_level_907_recording_dilation_100_no_ffcv_test_acc_63.41.pth,63.41,30.92
resnet50_dilation_normal_tiny_imagenet_1769767447.0817327_rf_level_907_recording_dilation_100_no_ffcv_test_acc_62.67.pth,62.67,22.18
