Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Final test accuracy
0,1.7435983827493262,1.0960663746630728,1.862575808625337,1.5045906334231807,2.804919137466307,1.6467318059299192,40.604994946091644,1.35,0.5,0.67,0.7,1.21,1.69,27.22,Acc@1 final output   56.25 ( 57.88)
1,2.2932109164420487,1.2245198787061995,2.1163241239892185,1.6119861859838276,3.33873820754717,1.8773163746630728,52.9670653638814,1.43,0.51,0.82,0.74,1.64,1.0,30.97,Acc@1 final output   56.25 ( 57.88)
2,2.544853436657682,1.0234164420485174,2.0184046495956873,1.4466812668463611,2.922843665768194,1.661472371967655,54.55272911051213,1.07,0.5,0.61,0.5,0.61,0.5,29.43,Acc@1 final output   56.25 ( 57.88)
3,2.7238460242587603,1.1381822776280324,2.075261118598383,1.6362028301886793,3.1786977762803232,1.8373062668463611,55.32345013477089,1.34,0.52,0.58,0.49,1.27,0.98,34.13,Acc@1 final output   56.25 ( 57.88)
4,2.661725067385445,1.0792200134770888,2.1952914420485174,1.6793716307277629,3.1502695417789757,1.6804245283018868,56.022574123989216,1.39,0.76,0.91,0.6,1.03,1.28,33.01,Acc@1 final output   56.25 ( 57.88)
5,2.6975235849056602,1.3161219676549865,2.446933962264151,1.7730795148247978,3.2745114555256065,1.8425707547169812,55.948871293800536,0.7,0.5,0.5,0.5,0.5,0.5,32.27,Acc@1 final output   56.25 ( 57.88)
6,2.6533018867924527,1.0065700808625337,2.155281334231806,1.6161977762803235,3.219760781671159,1.5930340296495957,55.820417789757414,1.06,0.5,0.5,0.5,0.57,1.0,35.36,Acc@1 final output   56.25 ( 57.88)
7,2.6701482479784366,1.2329430592991915,2.3153217654986524,1.7204346361185985,3.1618514150943398,1.7425454851752022,56.109964622641506,0.69,0.5,0.5,0.5,0.5,0.5,34.22,Acc@1 final output   56.25 ( 57.88)
8,2.559594002695418,0.9886708221024259,1.9046917115902966,1.4393109838274933,2.858616913746631,1.7699208221024259,55.70670485175202,1.39,0.5,1.24,0.5,1.44,1.47,36.09,Acc@1 final output   56.25 ( 57.88)
9,2.6712011455525606,1.072902628032345,2.024722035040431,1.6383086253369272,3.0470855795148246,1.7878200808625337,56.11522911051213,1.25,0.54,0.86,0.52,1.01,1.37,33.14,Acc@1 final output   56.25 ( 57.88)
10,2.631191037735849,1.1845097708894878,2.1794979784366575,1.667789757412399,2.9807530323450133,1.6972708894878705,56.07416610512129,1.27,0.51,0.5,0.8,1.04,0.89,32.31,Acc@1 final output   56.25 ( 57.88)
11,2.5753874663072778,1.0349983153638813,2.026827830188679,1.5045906334231807,2.9818059299191373,1.3982479784366577,55.71407513477089,1.93,0.5,0.8,1.13,1.62,0.55,34.51,Acc@1 final output   56.25 ( 57.88)
12,2.6554076819407006,1.1055424528301887,2.051044474393531,1.6562078840970351,3.111312331536388,1.5909282345013478,56.10891172506739,1.26,0.5,0.51,0.72,0.96,0.97,34.3,Acc@1 final output   56.25 ( 57.88)
13,2.699629380053908,1.2255727762803235,1.9899764150943395,1.4782681940700808,2.8807277628032346,1.6119861859838276,56.09838274932615,1.2,0.5,0.5,0.5,0.51,0.77,35.15,Acc@1 final output   56.25 ( 57.88)
14,2.8175539083557952,1.1034366576819408,2.344802897574124,1.872051886792453,3.830441374663073,1.838359164420485,56.087853773584904,1.61,0.83,1.11,0.76,1.55,0.94,34.42,Acc@1 final output   56.25 ( 57.88)
15,2.7838611859838274,1.16134602425876,2.0984248652291106,1.654102088948787,3.2713527628032346,1.6867419137466306,56.0173096361186,1.17,0.5,0.73,0.5,1.26,1.14,33.22,Acc@1 final output   56.25 ( 57.88)
16,2.822818396226415,1.0476330862533694,2.311110175202156,1.7393867924528301,3.4840380727762805,1.659366576819407,55.94150101078167,1.27,0.5,0.61,0.51,0.51,0.83,33.54,Acc@1 final output   56.25 ( 57.88)
17,2.6817301212938007,1.1118598382749325,2.043674191374663,1.5835579514824798,3.0418210916442048,1.854152628032345,56.05310815363882,1.63,0.76,1.65,1.24,2.22,1.59,33.98,Acc@1 final output   56.25 ( 57.88)
18,2.4785208894878705,1.1487112533692723,1.9194322776280324,1.5846108490566038,2.950219002695418,1.7425454851752022,55.985722708894876,1.22,0.5,0.52,0.74,0.54,0.5,32.78,Acc@1 final output   56.25 ( 57.88)
19,2.4711506064690028,0.978141846361186,2.0057698787061993,1.5277543800539084,2.928108153638814,1.545653638814016,55.567722371967655,1.16,0.5,0.55,0.5,0.82,0.98,37.64,Acc@1 final output   56.25 ( 57.88)
20,2.545906334231806,1.0244693396226414,2.1742334905660377,1.5772405660377358,3.3303150269541777,1.7435983827493262,56.366871630727765,1.58,0.69,1.42,1.12,1.55,0.94,31.48,Acc@1 final output   56.25 ( 57.88)
21,2.632243935309973,1.1013308625336926,1.9920822102425877,1.4835326819407009,2.913367587601078,1.666736859838275,55.68354110512129,1.64,0.51,0.69,0.88,0.92,0.98,34.78,Acc@1 final output   56.25 ( 57.88)
