Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,236369344.0,1.1661956310272217,84.3,1.041250467300415,82.43
0,28600690624.0,0.13706083595752716,97.14,0.15331949293613434,91.95
10,312243903424.0,0.055136412382125854,99.12,0.10255511850118637,93.5
20,595887116224.0,0.06172497943043709,99.36,0.12412537634372711,93.51
30,879530329024.0,0.025731617584824562,99.52,0.11342089623212814,93.7
40,1163173541824.0,0.03693343326449394,99.74,0.11950907856225967,93.73
50,1446816754624.0,0.04064831882715225,99.66,0.11764056980609894,93.89
60,1730459967424.0,0.04110146313905716,99.64,0.1495221108198166,93.83
70,2014103180224.0,0.027187127619981766,99.72,0.13856078684329987,93.81
80,2297746393024.0,0.03974474221467972,99.84,0.14737315475940704,93.81
90,2581389605824.0,0.027306372299790382,99.78,0.13694113492965698,93.97
100,2865032818624.0,0.03581301122903824,99.9,0.12231942266225815,93.94
101,2865032818624.0,0.0289095938205719,99.84,0.12231945246458054,93.94
